['Arm_Selected'],['Joint_Angle'],['Instant_Velocity'],['Moving_Median_Flt_Inst_Velocity'],['Task_ID'],['Timestamp']
left,10.698250040230072,30.629214391769768,0,Fast_02,2021-07-28 16:36:36.744379
left,10.549952165340567,4.373673636162931,0,Fast_02,2021-07-28 16:36:36.775330
left,8.377350683990732,68.07167624307363,0,Fast_02,2021-07-28 16:36:36.807245
left,7.48932384714752,28.722110086281,0,Fast_02,2021-07-28 16:36:36.837132
left,8.496119312272155,32.5660431294613,0,Fast_02,2021-07-28 16:36:36.869080
left,11.008083703250033,78.70749199127519,0,Fast_02,2021-07-28 16:36:36.901958
left,12.234293236300791,38.420303810680444,0,Fast_02,2021-07-28 16:36:36.931912
left,8.610074110074162,121.12411775305861,0,Fast_02,2021-07-28 16:36:36.962828
left,5.351289954273264,105.415090156039,0,Fast_02,2021-07-28 16:36:36.993713
left,4.383284729848998,30.328285114315158,0,Fast_02,2021-07-28 16:36:37.025660
left,4.169724847829925,6.691581259466052,35.49317347007087,Fast_02,2021-07-28 16:36:37.058538
left,0.3463127548474428,119.8071962170799,53.24599002687704,Fast_02,2021-07-28 16:36:37.089457
left,3.2143940263188346,89.83015158315008,58.56389790097782,Fast_02,2021-07-28 16:36:37.122115
left,3.3996784820928214,5.744757713675955,58.56389790097782,Fast_02,2021-07-28 16:36:37.152675
left,3.1334173004959145,8.325607501354076,58.56389790097782,Fast_02,2021-07-28 16:36:37.184661
left,3.589334625522799,14.283250498797898,34.3742944624978,Fast_02,2021-07-28 16:36:37.217572
left,3.5676395720455294,0.6791531046985122,22.305767806556528,Fast_02,2021-07-28 16:36:37.249214
left,3.5558453243882227,0.3612222166518117,11.304429000075988,Fast_02,2021-07-28 16:36:37.281717
left,3.203934009587401,11.071279892846878,9.698443697100476,Fast_02,2021-07-28 16:36:37.312885
left,2.1275030666138366,33.664233007775366,9.698443697100476,Fast_02,2021-07-28 16:36:37.344900
left,1.4114507959313378,14.959484487498754,12.677265195822388,Fast_02,2021-07-28 16:36:37.392801
left,1.0230751921744026,12.1507451596647,11.611012526255788,Fast_02,2021-07-28 16:36:37.424760
