['Arm_Selected'],['Joint_Angle'],['Instant_Velocity'],['Moving_Median_Flt_Inst_Velocity'],['Task_ID'],['Timestamp']
left,12.212348027338738,38.78411848950906,0,Slow_01,2021-07-28 16:39:50.881767
left,16.854150326315793,155.32930126461937,0,Slow_01,2021-07-28 16:39:50.911722
left,19.986314793026803,101.19354776413932,0,Slow_01,2021-07-28 16:39:50.941607
left,23.00600593263349,101.04271807780641,0,Slow_01,2021-07-28 16:39:50.971564
left,23.56238946397689,18.573738646692565,0,Slow_01,2021-07-28 16:39:51.002445
left,23.63145893620877,2.311207975268797,0,Slow_01,2021-07-28 16:39:51.032402
left,24.00892436335134,12.599916841162848,0,Slow_01,2021-07-28 16:39:51.064279
left,24.640273033430965,19.806045267835827,0,Slow_01,2021-07-28 16:39:51.094234
left,25.907305165821956,26.352076904466113,0,Slow_01,2021-07-28 16:39:51.143277
left,25.74083276280072,5.057810996527205,0,Slow_01,2021-07-28 16:39:51.178218
left,27.023793558705364,37.79890418866008,23.079061086150972,Slow_01,2021-07-28 16:39:51.209104
left,29.82766490035856,90.77799138387776,23.079061086150972,Slow_01,2021-07-28 16:39:51.242014
left,29.82999133010087,0.07290338506402556,19.189891957264194,Slow_01,2021-07-28 16:39:51.272932
left,29.224139535972427,19.595362457742986,19.084550552217777,Slow_01,2021-07-28 16:39:51.302866
left,28.67721258793615,17.670994991806445,18.633178724774716,Slow_01,2021-07-28 16:39:51.332805
left,28.21518280887636,14.462754122855054,18.633178724774716,Slow_01,2021-07-28 16:39:51.364789
left,28.16998312352206,1.4161062265567752,18.633178724774716,Slow_01,2021-07-28 16:39:51.396704
left,26.674122931707206,46.818789818292956,18.633178724774716,Slow_01,2021-07-28 16:39:51.429581
left,26.604788905246725,2.172575974713515,16.06687455733075,Slow_01,2021-07-28 16:39:51.460533
left,25.727481743286386,27.221294588864197,18.633178724774716,Slow_01,2021-07-28 16:39:51.492800
left,25.55602891230194,3.569462315275958,16.06687455733075,Slow_01,2021-07-28 16:39:51.540795
left,24.46539964710472,34.173501143245915,16.06687455733075,Slow_01,2021-07-28 16:39:51.572710
left,22.65120212161582,56.8443317591863,18.633178724774716,Slow_01,2021-07-28 16:39:51.606624
left,22.534685623206816,3.6547754985744914,16.06687455733075,Slow_01,2021-07-28 16:39:51.643521
left,22.443805405951444,2.462859700816516,9.058764810714774,Slow_01,2021-07-28 16:39:51.674404
left,22.722666159253368,9.019469555493394,6.337122527033943,Slow_01,2021-07-28 16:39:51.710341
left,21.810754477916042,25.398658711484487,17.20906413348894,Slow_01,2021-07-28 16:39:51.748207
left,21.166245919147475,17.00626475133047,13.012867153411932,Slow_01,2021-07-28 16:39:51.782115
left,20.105081132057457,31.29331161605013,21.202461731407478,Slow_01,2021-07-28 16:39:51.820013
left,18.8550118687242,32.985043102970174,21.202461731407478,Slow_01,2021-07-28 16:39:51.849934
left,18.701334590797078,5.136132509293803,21.202461731407478,Slow_01,2021-07-28 16:39:51.883844
left,17.514803746241956,34.987353014165485,21.202461731407478,Slow_01,2021-07-28 16:39:51.928724
left,16.74498104039927,17.154585831660476,17.080425291495473,Slow_01,2021-07-28 16:39:51.975598
left,18.589001477251525,39.3389025648427,21.27662227157248,Slow_01,2021-07-28 16:39:52.014496
left,16.51603547857207,53.29563307665335,28.34598516376731,Slow_01,2021-07-28 16:39:52.045411
left,17.017361502586436,16.214634082568978,28.34598516376731,Slow_01,2021-07-28 16:39:52.079320
left,16.807449187110784,6.190532223682448,24.2239487238553,Slow_01,2021-07-28 16:39:52.111272
left,16.340161732851314,14.6419761131222,24.2239487238553,Slow_01,2021-07-28 16:39:52.142187
left,14.872490543480376,47.47107514315125,25.069814467315325,Slow_01,2021-07-28 16:39:52.172107
left,13.45324058711354,47.43428637785768,26.07096942291298,Slow_01,2021-07-28 16:39:52.201992
left,12.610883033467346,28.152893349549746,31.570123181857618,Slow_01,2021-07-28 16:39:52.231913
left,12.674684583243193,2.1324654986934197,22.653739590605113,Slow_01,2021-07-28 16:39:52.261867
left,14.143980359704626,47.52215570940232,33.74589795719622,Slow_01,2021-07-28 16:39:52.292783
left,13.940466382309616,4.264351426749136,22.18376371605936,Slow_01,2021-07-28 16:39:52.342475
left,13.811319377509811,4.0457830337284895,15.428305097845588,Slow_01,2021-07-28 16:39:52.372396
left,13.814105082056253,0.08703623046064936,10.416254168402324,Slow_01,2021-07-28 16:39:52.405399
left,14.053297931219097,7.2750759525975965,10.958526032859897,Slow_01,2021-07-28 16:39:52.437314
left,14.13291164769922,2.572287926661178,5.769713689673367,Slow_01,2021-07-28 16:39:52.470226
left,13.947866616495151,5.803964214315591,5.034157820532363,Slow_01,2021-07-28 16:39:52.501144
left,14.00315090068635,1.6933762812490951,4.155067230238813,Slow_01,2021-07-28 16:39:52.533545
left,13.007684648776538,31.40117084254873,4.155067230238813,Slow_01,2021-07-28 16:39:52.565494
left,9.598624291175499,105.62866499314802,5.034157820532363,Slow_01,2021-07-28 16:39:52.596771
left,8.719336892320468,27.327820251102224,5.034157820532363,Slow_01,2021-07-28 16:39:52.629489
left,7.782696281216768,29.367546734105016,6.539520083456594,Slow_01,2021-07-28 16:39:52.660805
left,8.474476750923321,21.647611379207486,14.461343665902541,Slow_01,2021-07-28 16:39:52.692800
left,11.91216489406344,71.19998582551567,24.487715815154857,Slow_01,2021-07-28 16:39:52.741044
left,15.22286180635623,104.38848396155021,28.347683492603622,Slow_01,2021-07-28 16:39:52.772798
left,18.7999342794283,112.07052438932186,30.38435878832687,Slow_01,2021-07-28 16:39:52.804678
left,21.725844179878866,91.67424084426642,51.300578334032195,Slow_01,2021-07-28 16:39:52.837590
left,23.908571184142193,68.32257890019694,69.7612823628563,Slow_01,2021-07-28 16:39:52.868508
left,27.635774059873885,114.99265844655999,81.43711333489105,Slow_01,2021-07-28 16:39:52.900946
left,28.0496362803336,12.969985629706803,69.7612823628563,Slow_01,2021-07-28 16:39:52.932861
left,27.61995795541534,13.48377950214324,69.7612823628563,Slow_01,2021-07-28 16:39:52.964745
left,26.6932771905962,29.02358785677794,69.7612823628563,Slow_01,2021-07-28 16:39:52.996660
left,25.173811987841702,47.1309854073997,69.7612823628563,Slow_01,2021-07-28 16:39:53.030856
left,23.469001870075946,53.477215009874904,60.89989695503593,Slow_01,2021-07-28 16:39:53.060812
left,22.158601815310536,41.50468337539099,50.3041002086373,Slow_01,2021-07-28 16:39:53.094343
left,21.287278497253276,17.86319274943223,44.317834391395344,Slow_01,2021-07-28 16:39:53.142124
left,20.466274692127236,25.72339576191001,35.26413561608447,Slow_01,2021-07-28 16:39:53.173042
left,19.694324544442917,24.177794977694433,27.373491809343975,Slow_01,2021-07-28 16:39:53.204972
left,19.39270541636808,9.444295832542997,24.950595369802222,Slow_01,2021-07-28 16:39:53.236949
left,18.835661723468146,17.44384077307557,24.950595369802222,Slow_01,2021-07-28 16:39:53.268807
left,17.985904232065597,26.451794518518327,26.08759514021417,Slow_01,2021-07-28 16:39:53.300966
left,16.312983596616633,52.41730510257601,26.08759514021417,Slow_01,2021-07-28 16:39:53.332880
left,15.873410118421099,13.761044916326625,24.950595369802222,Slow_01,2021-07-28 16:39:53.364829
left,15.799469036258612,2.3165050282601785,21.02049386356333,Slow_01,2021-07-28 16:39:53.397775
left,15.405805663070307,12.320038358296099,17.6535167612539,Slow_01,2021-07-28 16:39:53.429691
left,15.125796024917411,8.774275465579208,15.602442844701098,Slow_01,2021-07-28 16:39:53.461571
left,15.04778695196666,2.4445539404511654,13.040541637311362,Slow_01,2021-07-28 16:39:53.492489
left,14.78720281015533,5.374209498487165,10.882167095419547,Slow_01,2021-07-28 16:39:53.541007
left,14.675347993576546,3.5049352253980888,10.547156911937654,Slow_01,2021-07-28 16:39:53.572922
left,14.735958652312881,1.901218484081294,7.074242482033187,Slow_01,2021-07-28 16:39:53.604803
left,14.875702782785963,4.371294284412748,4.872751891449957,Slow_01,2021-07-28 16:39:53.636775
left,14.893722902831207,0.5598780831148127,3.9381147549054187,Slow_01,2021-07-28 16:39:53.668991
left,14.986610616072554,2.9094115988278033,3.207173412112946,Slow_01,2021-07-28 16:39:53.700882
left,15.221229057069426,7.3513649647540715,3.9381147549054187,Slow_01,2021-07-28 16:39:53.732797
left,15.017501187510288,6.390479816648756,3.9381147549054187,Slow_01,2021-07-28 16:39:53.764712
left,14.765476661176745,7.888504405928932,3.9381147549054187,Slow_01,2021-07-28 16:39:53.798622
left,14.312725187674632,14.18650597137121,4.872751891449957,Slow_01,2021-07-28 16:39:53.828543
left,14.270887176418306,1.2929183125028756,3.9381147549054187,Slow_01,2021-07-28 16:39:53.863855
left,14.08474123849474,5.661812731269237,5.016553507840992,Slow_01,2021-07-28 16:39:53.892812
left,13.738343484086156,7.3761250877375995,6.026146273958997,Slow_01,2021-07-28 16:39:53.940777
left,13.664718475953398,2.306930121853135,6.026146273958997,Slow_01,2021-07-28 16:39:53.972693
left,13.725860767753753,1.9157884601743251,6.026146273958997,Slow_01,2021-07-28 16:39:54.004571
left,13.664456503171907,1.9002615787497812,6.026146273958997,Slow_01,2021-07-28 16:39:54.037880
left,14.058796944109009,12.356625045080827,6.026146273958997,Slow_01,2021-07-28 16:39:54.068796
left,14.140082844881634,2.534476499808407,4.098144615538821,Slow_01,2021-07-28 16:39:54.100868
left,14.167826953962187,0.8751521245186733,2.420703310830771,Slow_01,2021-07-28 16:39:54.133577
left,14.001221378539542,5.218778427315179,2.420703310830771,Slow_01,2021-07-28 16:39:54.164494
left,13.941126728731255,1.8523938419158943,2.420703310830771,Slow_01,2021-07-28 16:39:54.196933
left,13.893240337025201,1.4968258829537844,2.11135929101373,Slow_01,2021-07-28 16:39:54.228326
left,13.797985574961952,2.990407622141211,2.11135929101373,Slow_01,2021-07-28 16:39:54.260744
left,12.812531611949103,30.880502501947337,2.225132479991366,Slow_01,2021-07-28 16:39:54.292690
left,13.846901995902853,21.433297790693214,2.762442060974809,Slow_01,2021-07-28 16:39:54.341946
left,14.631745324941825,24.621880179521444,4.104593024728195,Slow_01,2021-07-28 16:39:54.372861
left,15.27332737179803,20.096263361765214,4.104593024728195,Slow_01,2021-07-28 16:39:54.404755
left,16.372973059272066,34.41128905236097,12.657520894540196,Slow_01,2021-07-28 16:39:54.436704
left,18.995797688472074,81.74142035006247,20.764780576229214,Slow_01,2021-07-28 16:39:54.468764
left,22.07911042193197,96.62473331192811,23.02758898510733,Slow_01,2021-07-28 16:39:54.501701
left,25.932488800859197,120.75431359080713,27.75119134073439,Slow_01,2021-07-28 16:39:54.532619
left,29.380971196986906,108.01433452824352,32.64589577715415,Slow_01,2021-07-28 16:39:54.564544
left,33.533052739556204,128.8403484724534,58.07635470121172,Slow_01,2021-07-28 16:39:54.596769
left,38.5668560205129,156.92954687475694,89.18307683099529,Slow_01,2021-07-28 16:39:54.629459
left,41.78876639003826,100.75806405116089,98.6913986815445,Slow_01,2021-07-28 16:39:54.660791
left,45.43099635743427,114.12641640832332,104.3861992897022,Slow_01,2021-07-28 16:39:54.695731
left,48.92470208393639,73.03206080076329,104.3861992897022,Slow_01,2021-07-28 16:39:54.741609
