['Arm_Selected'],['Joint_Angle'],['Instant_Velocity'],['Moving_Median_Flt_Inst_Velocity'],['Task_ID'],['Timestamp']
right,0,0.0,0,Medium_03,2021-08-02 17:22:21.981378
right,0,0.0,0,Medium_03,2021-08-02 17:22:22.012297
right,0,0.0,0,Medium_03,2021-08-02 17:22:22.043211
right,0,0.0,0,Medium_03,2021-08-02 17:22:22.073132
right,0,0.0,0,Medium_03,2021-08-02 17:22:22.107040
right,0,0.0,0,Medium_03,2021-08-02 17:22:22.137993
right,0,0.0,0,Medium_03,2021-08-02 17:22:22.168881
right,0,0.0,0,Medium_03,2021-08-02 17:22:22.199792
right,0,0.0,0,Medium_03,2021-08-02 17:22:22.230712
right,0,0.0,0,Medium_03,2021-08-02 17:22:22.273630
right,0,0.0,0.0,Medium_03,2021-08-02 17:22:22.305510
right,0,0.0,0.0,Medium_03,2021-08-02 17:22:22.337425
right,0,0.0,0.0,Medium_03,2021-08-02 17:22:22.369374
right,0,0.0,0.0,Medium_03,2021-08-02 17:22:22.409268
right,0,0.0,0.0,Medium_03,2021-08-02 17:22:22.446138
right,0,0.0,0.0,Medium_03,2021-08-02 17:22:22.510994
right,0,0.0,0.0,Medium_03,2021-08-02 17:22:22.543873
right,0,0.0,0.0,Medium_03,2021-08-02 17:22:22.600721
right,0,0.0,0.0,Medium_03,2021-08-02 17:22:22.658565
right,0,0.0,0.0,Medium_03,2021-08-02 17:22:22.718406
right,0,0.0,0.0,Medium_03,2021-08-02 17:22:22.749359
right,0,0.0,0.0,Medium_03,2021-08-02 17:22:22.781278
right,0,0.0,0.0,Medium_03,2021-08-02 17:22:22.814185
right,0,0.0,0.0,Medium_03,2021-08-02 17:22:22.870999
right,0,0.0,0.0,Medium_03,2021-08-02 17:22:22.928842
right,129.34762407356496,2276.7830834599317,0.0,Medium_03,2021-08-02 17:22:22.988719
right,129.34762407356496,0.0,0.0,Medium_03,2021-08-02 17:22:23.020598
right,129.34762407356496,0.0,0.0,Medium_03,2021-08-02 17:22:23.077480
right,129.34762407356496,0.0,0.0,Medium_03,2021-08-02 17:22:23.135291
right,129.34762407356496,0.0,0.0,Medium_03,2021-08-02 17:22:23.196129
right,129.34762407356496,0.0,0.0,Medium_03,2021-08-02 17:22:23.252976
right,129.34762407356496,0.0,0.0,Medium_03,2021-08-02 17:22:23.310821
right,129.34762407356496,0.0,0.0,Medium_03,2021-08-02 17:22:23.368667
right,129.34762407356496,0.0,0.0,Medium_03,2021-08-02 17:22:23.426426
right,129.34762407356496,0.0,0.0,Medium_03,2021-08-02 17:22:23.483279
right,129.34762407356496,0.0,0.0,Medium_03,2021-08-02 17:22:23.540163
right,129.34762407356496,0.0,0.0,Medium_03,2021-08-02 17:22:23.599967
right,129.34762407356496,0.0,0.0,Medium_03,2021-08-02 17:22:23.664794
right,129.34762407356496,0.0,0.0,Medium_03,2021-08-02 17:22:23.723521
right,129.34762407356496,0.0,0.0,Medium_03,2021-08-02 17:22:23.754437
right,129.34762407356496,0.0,0.0,Medium_03,2021-08-02 17:22:23.815274
right,129.34762407356496,0.0,0.0,Medium_03,2021-08-02 17:22:23.871062
right,129.34762407356496,0.0,0.0,Medium_03,2021-08-02 17:22:23.927856
right,129.34762407356496,0.0,0.0,Medium_03,2021-08-02 17:22:23.986703
right,129.34762407356496,0.0,0.0,Medium_03,2021-08-02 17:22:24.016656
right,129.34762407356496,0.0,0.0,Medium_03,2021-08-02 17:22:24.076464
right,129.34762407356496,0.0,0.0,Medium_03,2021-08-02 17:22:24.147274
right,129.34762407356496,0.0,0.0,Medium_03,2021-08-02 17:22:24.186168
right,129.34762407356496,0.0,0.0,Medium_03,2021-08-02 17:22:24.247006
right,129.34762407356496,0.0,0.0,Medium_03,2021-08-02 17:22:24.309837
right,129.34762407356496,0.0,0.0,Medium_03,2021-08-02 17:22:24.339758
right,129.34762407356496,0.0,0.0,Medium_03,2021-08-02 17:22:24.370675
right,129.34762407356496,0.0,0.0,Medium_03,2021-08-02 17:22:24.432513
right,129.34762407356496,0.0,0.0,Medium_03,2021-08-02 17:22:24.463427
right,129.34762407356496,0.0,0.0,Medium_03,2021-08-02 17:22:24.493347
right,129.34762407356496,0.0,0.0,Medium_03,2021-08-02 17:22:24.527256
right,129.34762407356496,0.0,0.0,Medium_03,2021-08-02 17:22:24.558174
right,129.34762407356496,0.0,0.0,Medium_03,2021-08-02 17:22:24.595075
right,129.34762407356496,0.0,0.0,Medium_03,2021-08-02 17:22:24.629982
right,129.34762407356496,0.0,0.0,Medium_03,2021-08-02 17:22:24.661896
right,129.34762407356496,0.0,0.0,Medium_03,2021-08-02 17:22:24.699796
right,129.34762407356496,0.0,0.0,Medium_03,2021-08-02 17:22:24.736704
right,129.34762407356496,0.0,0.0,Medium_03,2021-08-02 17:22:24.776590
right,129.34762407356496,0.0,0.0,Medium_03,2021-08-02 17:22:24.810499
right,168.46111433192854,1153.5217876853847,0.0,Medium_03,2021-08-02 17:22:24.871336
right,172.21430787135984,61.69234108716085,0.0,Medium_03,2021-08-02 17:22:24.920207
right,173.39864916729906,23.749927972743347,0.0,Medium_03,2021-08-02 17:22:24.979049
right,170.02006824701334,59.433029271443345,0.0,Medium_03,2021-08-02 17:22:25.025923
right,166.68956098019243,69.57064784405694,11.874963986371673,Medium_03,2021-08-02 17:22:25.061827
right,165.46685007601064,34.05439248483191,28.90216022878763,Medium_03,2021-08-02 17:22:25.097732
right,168.91865392874374,96.13744526238295,46.74371087813763,Medium_03,2021-08-02 17:22:25.131639
right,171.30620332668983,70.41477745122117,60.56268517930209,Medium_03,2021-08-02 17:22:25.163554
right,166.5551403101733,148.85859663569582,65.6314944656089,Medium_03,2021-08-02 17:22:25.196466
right,160.68985004191504,178.22025003127234,69.99271264763905,Medium_03,2021-08-02 17:22:25.231374
right,146.6103871073033,415.2121476849623,69.99271264763905,Medium_03,2021-08-02 17:22:25.263288
right,41.05303611310608,3205.679630908221,83.27611135680206,Medium_03,2021-08-02 17:22:25.298195
right,133.90240502777837,2661.0804493206892,122.49802094903939,Medium_03,2021-08-02 17:22:25.330109
right,129.7554975469572,129.94494392641244,139.40177028105413,Medium_03,2021-08-02 17:22:25.362024
right,131.94186081424584,68.50592926574444,139.40177028105413,Medium_03,2021-08-02 17:22:25.393939
right,136.21847700049702,134.0004062158362,141.429501425766,Medium_03,2021-08-02 17:22:25.425854
right,141.27214030907132,158.3419257302558,153.60026118297583,Medium_03,2021-08-02 17:22:25.457770
right,145.00486184376211,116.95403510853947,153.60026118297583,Medium_03,2021-08-02 17:22:25.490681
right,155.8677744394678,340.39355222050307,168.28108788076406,Medium_03,2021-08-02 17:22:25.525622
right,150.6787219637933,148.51119101835894,153.42655837430738,Medium_03,2021-08-02 17:22:25.559496
right,152.26968347321247,45.581061372442775,141.25579861709758,Medium_03,2021-08-02 17:22:25.592441
