['Arm_Selected'],['Joint_Angle'],['Instant_Velocity'],['Moving_Median_Flt_Inst_Velocity'],['Task_ID'],['Timestamp']
right,0,0.0,0,Fast_02,2021-08-02 17:23:15.853791
right,0,0.0,0,Fast_02,2021-08-02 17:23:15.885705
right,0,0.0,0,Fast_02,2021-08-02 17:23:15.916623
right,81.46114974066944,2634.738018213208,0,Fast_02,2021-08-02 17:23:15.981484
right,97.57719789720531,252.35988727870787,0,Fast_02,2021-08-02 17:23:16.014991
right,97.57719789720531,0.0,0,Fast_02,2021-08-02 17:23:16.052893
right,97.57719789720531,0.0,0,Fast_02,2021-08-02 17:23:16.083858
right,117.34821529356005,600.7625465436071,0,Fast_02,2021-08-02 17:23:16.148673
right,117.34821529356005,0.0,0,Fast_02,2021-08-02 17:23:16.179554
right,117.34821529356005,0.0,0,Fast_02,2021-08-02 17:23:16.242387
right,117.34821529356005,0.0,0.0,Fast_02,2021-08-02 17:23:16.311202
right,117.34821529356005,0.0,0.0,Fast_02,2021-08-02 17:23:16.375065
right,117.34821529356005,0.0,0.0,Fast_02,2021-08-02 17:23:16.439892
right,117.34821529356005,0.0,0.0,Fast_02,2021-08-02 17:23:16.505717
right,117.34821529356005,0.0,0.0,Fast_02,2021-08-02 17:23:16.566554
right,117.34821529356005,0.0,0.0,Fast_02,2021-08-02 17:23:16.630383
right,117.34821529356005,0.0,0.0,Fast_02,2021-08-02 17:23:16.689193
right,117.34821529356005,0.0,0.0,Fast_02,2021-08-02 17:23:16.748035
right,117.34821529356005,0.0,0.0,Fast_02,2021-08-02 17:23:16.810897
right,117.34821529356005,0.0,0.0,Fast_02,2021-08-02 17:23:16.871703
right,117.34821529356005,0.0,0.0,Fast_02,2021-08-02 17:23:16.905613
right,66.15599604110197,1509.79664577901,0.0,Fast_02,2021-08-02 17:23:16.966449
right,68.23016092165335,34.07455967834059,0.0,Fast_02,2021-08-02 17:23:16.999398
right,28.105524320405955,1220.403940472936,0.0,Fast_02,2021-08-02 17:23:17.032307
right,36.00043366357196,239.89140396475233,0.0,Fast_02,2021-08-02 17:23:17.064187
right,36.00043366357196,0.0,0.0,Fast_02,2021-08-02 17:23:17.095106
right,157.53382250412142,4061.8016139498,17.037279839170296,Fast_02,2021-08-02 17:23:17.158972
right,78.11387089805709,1243.5284262163166,136.98298182154645,Fast_02,2021-08-02 17:23:17.191847
right,123.6612150736852,1385.4880688772878,730.1476722188441,Fast_02,2021-08-02 17:23:17.223762
right,148.91153112471952,767.2121645159983,993.8080524944671,Fast_02,2021-08-02 17:23:17.260702
right,130.067503477602,510.6512588120765,993.8080524944671,Fast_02,2021-08-02 17:23:17.294571
right,112.52480106206677,507.38833585458906,638.9317116640374,Fast_02,2021-08-02 17:23:17.329151
right,117.16306423929888,140.91386082166426,638.9317116640374,Fast_02,2021-08-02 17:23:17.362063
right,147.34336610222,889.9233060667834,638.9317116640374,Fast_02,2021-08-02 17:23:17.394012
