['Arm_Selected'],['Joint_Angle'],['Instant_Velocity'],['Moving_Median_Flt_Inst_Velocity'],['Task_ID'],['Timestamp']
left,0,0.0,0,Slow_01,2021-08-02 19:03:33.360499
left,0,0.0,0,Slow_01,2021-08-02 19:03:33.392087
left,0,0.0,0,Slow_01,2021-08-02 19:03:33.424589
left,0,0.0,0,Slow_01,2021-08-02 19:03:33.456571
left,0,0.0,0,Slow_01,2021-08-02 19:03:33.488700
left,0,0.0,0,Slow_01,2021-08-02 19:03:33.518690
left,0,0.0,0,Slow_01,2021-08-02 19:03:33.549193
left,0,0.0,0,Slow_01,2021-08-02 19:03:33.590836
left,0,0.0,0,Slow_01,2021-08-02 19:03:33.621258
left,0,0.0,0,Slow_01,2021-08-02 19:03:33.654338
left,0,0.0,0.0,Slow_01,2021-08-02 19:03:33.685718
left,0,0.0,0.0,Slow_01,2021-08-02 19:03:33.717957
left,0,0.0,0.0,Slow_01,2021-08-02 19:03:33.750834
left,0,0.0,0.0,Slow_01,2021-08-02 19:03:33.782065
left,0,0.0,0.0,Slow_01,2021-08-02 19:03:33.814177
left,0,0.0,0.0,Slow_01,2021-08-02 19:03:33.846155
left,0,0.0,0.0,Slow_01,2021-08-02 19:03:33.877145
left,0,0.0,0.0,Slow_01,2021-08-02 19:03:33.909697
left,0,0.0,0.0,Slow_01,2021-08-02 19:03:33.941234
left,0,0.0,0.0,Slow_01,2021-08-02 19:03:33.990962
left,0,0.0,0.0,Slow_01,2021-08-02 19:03:34.042822
left,98.00650245497911,1926.8079668931982,0.0,Slow_01,2021-08-02 19:03:34.160522
left,149.64742086908564,438.7419976704714,0.0,Slow_01,2021-08-02 19:03:34.205101
left,145.66446694006007,89.22994533907875,0.0,Slow_01,2021-08-02 19:03:34.243019
left,155.57744099089007,268.93937071987375,0.0,Slow_01,2021-08-02 19:03:34.273579
left,161.61754578654842,193.4264989872037,44.61497266953938,Slow_01,2021-08-02 19:03:34.304366
left,160.19636732033254,45.6228581038852,67.42640172148198,Slow_01,2021-08-02 19:03:34.335363
