['Arm_Selected'],['Joint_Angle'],['Instant_Velocity'],['Moving_Median_Flt_Inst_Velocity'],['Task_ID'],['Timestamp']
right,158.0532780856581,10.161395044194256,0,Slow_03,2021-07-27 18:01:00.285895
right,158.67795841870455,20.268894765238475,0,Slow_03,2021-07-27 18:01:00.316812
right,159.17478849583608,15.549890530128886,0,Slow_03,2021-07-27 18:01:00.352716
right,159.3934530663163,6.270524210658236,0,Slow_03,2021-07-27 18:01:00.383633
right,159.5662449388528,5.5891665868272495,0,Slow_03,2021-07-27 18:01:00.415548
right,159.7183395202457,4.919421566940478,0,Slow_03,2021-07-27 18:01:00.446466
right,159.74132094485836,0.7199919417570172,0,Slow_03,2021-07-27 18:01:00.480374
right,159.45586012271858,6.079225127794113,0,Slow_03,2021-07-27 18:01:00.523345
right,158.3505295355383,34.99096187851964,0,Slow_03,2021-07-27 18:01:00.555966
right,155.86255429673915,77.96166285147952,0,Slow_03,2021-07-27 18:01:00.587879
right,152.47371973269017,106.17853815599723,10.910207370393561,Slow_03,2021-07-27 18:01:00.621667
right,146.71945491238353,175.30769252410744,10.910207370393561,Slow_03,2021-07-27 18:01:00.656574
right,138.47000529599174,236.33066173863813,20.63074304458894,Slow_03,2021-07-27 18:01:00.686528
right,129.99199762810497,283.3278207691119,56.47631236499958,Slow_03,2021-07-27 18:01:00.717443
right,121.66700264853354,269.25732946843686,92.07010050373837,Slow_03,2021-07-27 18:01:00.748328
right,115.0903508602277,206.0696018399696,140.74311534005233,Slow_03,2021-07-27 18:01:00.780243
right,104.62094219063333,328.79004058607893,190.68864718203852,Slow_03,2021-07-27 18:01:00.812089
right,93.82023506792653,338.43673443351094,221.20013178930387,Slow_03,2021-07-27 18:01:00.844038
right,84.89648011503081,279.30586532009767,252.7939956035375,Slow_03,2021-07-27 18:01:00.875953
right,77.53496408201555,153.21696569260797,252.7939956035375,Slow_03,2021-07-27 18:01:00.923001
right,71.38240146442763,192.7871593144833,252.7939956035375,Slow_03,2021-07-27 18:01:00.955880
right,64.70819886027274,203.00099840765526,252.7939956035375,Slow_03,2021-07-27 18:01:00.988791
right,56.960016096743736,242.76508742110286,256.01120844476986,Slow_03,2021-07-27 18:01:01.020740
right,51.1631202959321,187.45715818268854,224.41734463053623,Slow_03,2021-07-27 18:01:01.051658
right,45.69791217421869,168.06516720727785,204.53530012381242,Slow_03,2021-07-27 18:01:01.083184
right,46.20336253327367,15.786000154774275,197.89407886106926,Slow_03,2021-07-27 18:01:01.115406
right,42.859371815668354,105.37805425145828,190.12215874858592,Slow_03,2021-07-27 18:01:01.147936
right,44.64172526573481,55.84781154070739,177.7611626949832,Slow_03,2021-07-27 18:01:01.182810
