['Arm_Selected'],['Joint_Angle'],['Instant_Velocity'],['Moving_Median_Flt_Inst_Velocity'],['Task_ID'],['Timestamp']
left,166.4623506803747,173.44723412538804,0,Fast_03,2021-07-28 16:41:21.814805
left,173.51247524333633,186.02511122319723,0,Fast_03,2021-07-28 16:41:21.860688
left,156.88527886175916,370.4346890113597,0,Fast_03,2021-07-28 16:41:21.904565
left,164.72883376785506,174.78896017287317,0,Fast_03,2021-07-28 16:41:21.950443
left,123.8130310818024,891.8081351396146,0,Fast_03,2021-07-28 16:41:21.986346
left,154.97154259061514,892.6977291574237,0,Fast_03,2021-07-28 16:41:22.016265
left,37.34825605231822,3804.2011120848592,0,Fast_03,2021-07-28 16:41:22.049222
left,71.56998108349839,1070.8628760887145,0,Fast_03,2021-07-28 16:41:22.081127
left,51.84059753684926,600.2454071988267,0,Fast_03,2021-07-28 16:41:22.111048
left,75.88745899788867,802.7813815365053,0,Fast_03,2021-07-28 16:41:22.143959
left,56.9396533214353,593.7190498742759,701.513394367666,Fast_03,2021-07-28 16:41:22.173881
left,128.54332944182153,2315.948620170271,847.2947583380599,Fast_03,2021-07-28 16:41:22.204803
left,144.17379941850567,522.2904570122066,847.2947583380599,Fast_03,2021-07-28 16:41:22.234717
left,152.35179344021037,264.85208120772245,847.2947583380599,Fast_03,2021-07-28 16:41:22.264637
left,145.25266681897114,237.28648989098468,701.513394367666,Fast_03,2021-07-28 16:41:22.295554
left,149.6725257910781,147.5503992848148,596.9822285365512,Fast_03,2021-07-28 16:41:22.326472
left,142.49664527981813,161.10428285694277,558.0047534432413,Fast_03,2021-07-28 16:41:22.369017
left,143.53110387549597,32.65153424957277,393.57126910996453,Fast_03,2021-07-28 16:41:22.401209
left,141.09075940499835,77.33403780730652,251.06928554935357,Fast_03,2021-07-28 16:41:22.433094
left,141.91995916517968,25.7455574953184,199.19538637396374,Fast_03,2021-07-28 16:41:22.465465
left,132.6626431943829,290.36791359240823,199.19538637396374,Fast_03,2021-07-28 16:41:22.497376
left,129.77701395186307,88.35747024688186,154.3273410708788,Fast_03,2021-07-28 16:41:22.529035
left,141.1702041022688,356.9833337362908,154.3273410708788,Fast_03,2021-07-28 16:41:22.560883
left,131.98676011944818,287.7538573034145,154.3273410708788,Fast_03,2021-07-28 16:41:22.592834
left,130.59586683827536,43.58124661250321,117.95393476584833,Fast_03,2021-07-28 16:41:22.624748
left,132.4364125443832,57.67205463525184,82.84575402709419,Fast_03,2021-07-28 16:41:22.656663
left,140.58573766638554,257.1605145845117,82.84575402709419,Fast_03,2021-07-28 16:41:22.689313
left,142.58308715034403,62.65324675395641,82.84575402709419,Fast_03,2021-07-28 16:41:22.723258
left,145.5113850366454,59.84530452222568,75.50535850041913,Fast_03,2021-07-28 16:41:22.769168
left,146.48565176992392,30.522410621798425,75.50535850041913,Fast_03,2021-07-28 16:41:22.802080
left,133.0048007827359,422.4024146045615,75.50535850041913,Fast_03,2021-07-28 16:41:22.833014
left,122.1963793868023,340.0911116711296,159.90688066923406,Fast_03,2021-07-28 16:41:22.864769
left,137.38700659786264,476.05750632380574,159.90688066923406,Fast_03,2021-07-28 16:41:22.897649
left,138.8629204288844,45.63565735913923,61.24927563809105,Fast_03,2021-07-28 16:41:22.930028
left,142.20205394027374,106.24353142740183,84.44838909067911,Fast_03,2021-07-28 16:41:22.961471
left,80.02365904920809,1943.5053090080798,181.70202300595676,Fast_03,2021-07-28 16:41:22.993479
left,64.43742886001053,488.38228577864516,223.16732154926572,Fast_03,2021-07-28 16:41:23.025394
left,67.24994973018529,86.24167515339765,223.16732154926572,Fast_03,2021-07-28 16:41:23.056979
left,146.496517576512,2474.9566006010427,381.24676313784556,Fast_03,2021-07-28 16:41:23.088033
left,108.2696975304624,1204.0318719365148,449.2299604641836,Fast_03,2021-07-28 16:41:23.120743
left,81.38057824134054,561.9333170114943,482.2198960512254,Fast_03,2021-07-28 16:41:23.169452
left,88.17137104657327,209.76594585595285,482.2198960512254,Fast_03,2021-07-28 16:41:23.200972
left,98.89179588485672,337.13258041980913,412.7574330992271,Fast_03,2021-07-28 16:41:23.232772
left,105.19815994860295,197.56659186025908,412.7574330992271,Fast_03,2021-07-28 16:41:23.264686
left,81.76680644471983,734.2140355365954,525.1578013950698,Fast_03,2021-07-28 16:41:23.296636
left,114.9660051265952,1019.2025693010349,525.1578013950698,Fast_03,2021-07-28 16:41:23.329178
left,115.31820445905947,11.036796534466497,449.53294871565174,Fast_03,2021-07-28 16:41:23.363081
left,114.69210217706794,19.61637177406776,449.53294871565174,Fast_03,2021-07-28 16:41:23.392037
left,102.39546677823529,385.4810834394554,361.30683192963227,Fast_03,2021-07-28 16:41:23.424863
left,111.07487531853411,271.9969961013861,304.56478826059765,Fast_03,2021-07-28 16:41:23.456812
left,131.38847442722292,642.8208958298054,304.56478826059765,Fast_03,2021-07-28 16:41:23.488413
left,117.94187757378464,421.32281729515165,361.30683192963227,Fast_03,2021-07-28 16:41:23.520381
