['Arm_Selected'],['Joint_Angle'],['Instant_Velocity'],['Moving_Median_Flt_Inst_Velocity'],['Task_ID'],['Timestamp']
left,18.308170076626645,12.356100119620612,0,Slow_03,2021-07-28 16:40:18.822640
left,18.099605762165933,6.527591639615743,0,Slow_03,2021-07-28 16:40:18.855554
left,18.733756046136513,19.87015592902242,0,Slow_03,2021-07-28 16:40:18.885472
left,17.49464443183738,40.07966870489631,0,Slow_03,2021-07-28 16:40:18.917387
left,17.87821617004361,12.032042807587647,0,Slow_03,2021-07-28 16:40:18.950263
left,18.833573151350873,29.0244506520808,0,Slow_03,2021-07-28 16:40:18.983212
left,19.742196211347654,27.61123952209194,0,Slow_03,2021-07-28 16:40:19.013132
left,19.318925875501712,11.673391915730074,0,Slow_03,2021-07-28 16:40:19.052352
left,19.068101452186642,7.619403373636342,0,Slow_03,2021-07-28 16:40:19.087291
left,19.26512157469891,5.644319822505173,0,Slow_03,2021-07-28 16:40:19.122199
left,19.642725080404805,10.81745710263138,11.852717361658861,Slow_03,2021-07-28 16:40:19.158104
left,18.775975594708452,24.140956862323485,15.951099368305034,Slow_03,2021-07-28 16:40:19.195969
left,17.43208914345532,36.418467569289774,18.086499834955568,Slow_03,2021-07-28 16:40:19.229876
left,16.602554991165487,23.102276903727287,17.567159855657465,Slow_03,2021-07-28 16:40:19.266778
left,16.744474859537252,3.9528981359026254,17.38783440972868,Slow_03,2021-07-28 16:40:19.300689
left,16.840275744408952,2.9109655062513466,11.245424509180726,Slow_03,2021-07-28 16:40:19.334630
left,17.03242752081802,5.504473311657542,9.21843023813386,Slow_03,2021-07-28 16:40:19.367545
left,18.37479273886221,42.01770029032995,9.21843023813386,Slow_03,2021-07-28 16:40:19.397463
left,18.55644617082231,5.697245379105846,8.257351240868612,Slow_03,2021-07-28 16:40:19.439319
left,19.071685432457773,12.601873577362124,11.709665339996752,Slow_03,2021-07-28 16:40:19.489184
left,19.33764944744258,5.442372284540495,9.149559478233986,Slow_03,2021-07-28 16:40:19.531071
left,19.008997380468017,7.663768314095205,6.680506846600526,Slow_03,2021-07-28 16:40:19.566012
left,18.988235771997193,0.6116406137134537,5.600859345381695,Slow_03,2021-07-28 16:40:19.598892
left,18.408246465564734,17.63979687707578,5.600859345381695,Slow_03,2021-07-28 16:40:19.633831
left,18.416246445057578,0.228971134858839,5.600859345381695,Slow_03,2021-07-28 16:40:19.667707
left,18.645445442801226,6.572254739710356,6.134750059408101,Slow_03,2021-07-28 16:40:19.698625
left,18.814847639965432,5.383779603520518,6.134750059408101,Slow_03,2021-07-28 16:40:19.732093
left,18.99227473343203,5.557960848689832,5.627603113897839,Slow_03,2021-07-28 16:40:19.763039
left,19.55644519600554,17.67995179245468,6.0651077942000935,Slow_03,2021-07-28 16:40:19.793956
left,19.855952953727563,9.687500183107836,6.0651077942000935,Slow_03,2021-07-28 16:40:19.825870
left,20.04967321803447,6.069891002334665,6.32107287102251,Slow_03,2021-07-28 16:40:19.858784
left,20.509361634678534,13.967292307296768,6.32107287102251,Slow_03,2021-07-28 16:40:19.890698
left,21.289571366598487,24.447989954881756,8.129877461409096,Slow_03,2021-07-28 16:40:19.922613
left,24.40215067469072,97.52367174822946,8.129877461409096,Slow_03,2021-07-28 16:40:19.953529
left,26.39200188995828,64.28982592379843,11.827396245202301,Slow_03,2021-07-28 16:40:19.984447
left,29.086107017155634,87.11862822688343,15.823622049875723,Slow_03,2021-07-28 16:40:20.016362
left,31.385140949583047,72.13002923931293,21.063970873668218,Slow_03,2021-07-28 16:40:20.047278
left,35.006366852373176,117.11857415257163,44.36890793934009,Slow_03,2021-07-28 16:40:20.080191
left,36.77129242214134,55.2468384454363,59.768332184617364,Slow_03,2021-07-28 16:40:20.110114
left,38.18737203241934,45.851520212043226,59.768332184617364,Slow_03,2021-07-28 16:40:20.141028
left,40.33981717712722,69.62027592233548,66.95505092306695,Slow_03,2021-07-28 16:40:20.171913
left,42.01820210699524,54.22670506539984,66.95505092306695,Slow_03,2021-07-28 16:40:20.203862
left,43.92716712343085,39.7951272579321,66.95505092306695,Slow_03,2021-07-28 16:40:20.251795
left,46.082976467119785,67.551097847477,65.9204618856377,Slow_03,2021-07-28 16:40:20.283745
left,48.87009079988564,87.32812498134024,68.58568688490624,Slow_03,2021-07-28 16:40:20.315625
left,51.38974800356612,78.95030060007811,68.58568688490624,Slow_03,2021-07-28 16:40:20.348536
left,54.393836147618714,91.37231083084872,68.58568688490624,Slow_03,2021-07-28 16:40:20.379488
left,57.21513979827073,91.25292216155786,68.58568688490624,Slow_03,2021-07-28 16:40:20.410278
left,59.96362174793484,84.71090953811544,74.2852882612068,Slow_03,2021-07-28 16:40:20.442811
left,61.653347057535605,52.95175410712355,74.2852882612068,Slow_03,2021-07-28 16:40:20.474726
left,63.89031848533853,70.07699069766397,74.51364564887103,Slow_03,2021-07-28 16:40:20.509634
left,65.17502010471249,37.895178672274,74.51364564887103,Slow_03,2021-07-28 16:40:20.541516
left,65.94811840429921,25.03094925546364,74.51364564887103,Slow_03,2021-07-28 16:40:20.573463
left,67.51285984022556,48.9798144967061,74.51364564887103,Slow_03,2021-07-28 16:40:20.604348
left,67.92396839501173,8.780856006833165,61.51437240239376,Slow_03,2021-07-28 16:40:20.652193
left,69.1499195210152,37.24853825247309,50.96578430191482,Slow_03,2021-07-28 16:40:20.683112
left,71.49971693662033,73.63070733382817,50.96578430191482,Slow_03,2021-07-28 16:40:20.715062
left,73.29007031844361,56.10099400682025,50.96578430191482,Slow_03,2021-07-28 16:40:20.747937
left,75.06599344796491,55.64258438046223,50.96578430191482,Slow_03,2021-07-28 16:40:20.777893
left,77.92013369102989,88.62778250154287,52.31119943858417,Slow_03,2021-07-28 16:40:20.812064
left,81.27890337487551,105.22004302127472,52.31119943858417,Slow_03,2021-07-28 16:40:20.842978
left,85.04247013072766,117.92840940957672,55.87178919364124,Slow_03,2021-07-28 16:40:20.874893
left,88.59908553001196,111.32565314427514,64.8658506703242,Slow_03,2021-07-28 16:40:20.907806
left,89.64883255761922,32.92645251591907,64.8658506703242,Slow_03,2021-07-28 16:40:20.938722
left,91.97306281744757,72.60500101080754,73.11785417231786,Slow_03,2021-07-28 16:40:20.970740
